,Unnamed: 0,hot_100_url,WeekID,Week Positon,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,Genres,spotify_track_id,spotify_track_preview_url,Duration (ms),Explicit,Album,Danceability,Energy,Key,Loudness (db),Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Popularity,Predictions,pca1,pca2
14292,14292,http://www.billboard.com/charts/hot-100/2010-01-09,2010-01-09,53,Crawl,Chris Brown,CrawlChris Brown,1,68.0,53,5,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",3SK0wdiECK6UltzbYm2rkd,https://p.scdn.co/mp3-preview/5d844bd2b205e247ccd0f6411177eb1d4705ed64?cid=b8d3901151d34489a160e3cf0ab1fa94,236253.0,0.0,Graffiti (Expanded Edition),0.41,0.743,5.0,-6.356,0.0,0.0591,0.0416,0.0,0.113,0.417,176.048,4.0,52.0,4,-0.42550850939650353,-1.1854736727983315
1324,1324,http://www.billboard.com/charts/hot-100/2010-01-09,2010-01-09,2,Replay,Iyaz,ReplayIyaz,1,4.0,2,19,"['dance pop', 'pop rap', 'post-teen pop']",5vlEg2fT4cFWAqU5QptIpQ,https://p.scdn.co/mp3-preview/409a5fc7b41354e36172a0c0197f9d3298d31141?cid=b8d3901151d34489a160e3cf0ab1fa94,182306.0,0.0,Replay,0.706,0.751,9.0,-6.323,1.0,0.0708,0.173,0.0,0.168,0.195,91.031,4.0,73.0,4,0.10461113136012337,-0.6118592946531529
4219,4219,http://www.billboard.com/charts/hot-100/2010-01-09,2010-01-09,10,Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,Do You RememberJay Sean Featuring Sean Paul & Lil Jon,1,14.0,10,8,"['australian pop', 'dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",7yws3pF3FFguwT2Psi6c15,,210306.0,0.0,All Or Nothing,0.854,0.664,11.0,-4.88,1.0,0.085,0.0278,0.0,0.118,0.782,125.84,4.0,68.0,3,-1.3693970632106627,0.05985892188216587
18602,18602,http://www.billboard.com/charts/hot-100/2010-01-09,2010-01-09,73,Break,Three Days Grace,BreakThree Days Grace,1,82.0,73,16,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge']",4urxRqBRiaH0i20OKBsgxc,https://p.scdn.co/mp3-preview/7786eff13a3e12553df8c890145de98902365fef?cid=b8d3901151d34489a160e3cf0ab1fa94,193106.0,0.0,Life Starts Now,0.578,0.897,0.0,-3.906,1.0,0.0357,0.000666,0.0,0.0924,0.737,115.491,4.0,64.0,0,-1.952990809983733,-1.366910609870019
18569,18569,http://www.billboard.com/charts/hot-100/2010-01-09,2010-01-09,72,Vanilla Twilight,Owl City,Vanilla TwilightOwl City,2,,72,2,"['pop', 'pop rock', 'post-teen pop']",0vCTQcxSGAgjHaiAsIANKn,,231706.0,0.0,Ocean Eyes (Deluxe Version),0.582,0.529,11.0,-7.637,1.0,0.0248,0.00961,0.000554,0.113,0.567,166.134,4.0,64.0,4,0.10254905901836713,-0.9365532389648714
15497,15497,http://www.billboard.com/charts/hot-100/2010-01-09,2010-01-09,58,Never Gonna Be Alone,Nickelback,Never Gonna Be AloneNickelback,2,62.0,58,9,"['alternative metal', 'canadian rock', 'nu metal', 'post-grunge']",7aySoZnwt7c6lA54qVVUOk,https://p.scdn.co/mp3-preview/6adbc5d64e4c9364d21cd24abfeb9e516b144c95?cid=b8d3901151d34489a160e3cf0ab1fa94,227026.0,0.0,Dark Horse,0.544,0.802,4.0,-4.152,1.0,0.0282,0.00155,7.34e-05,0.122,0.59,130.022,4.0,63.0,0,-1.3988314887704274,-1.5005927149033549
22453,22453,http://www.billboard.com/charts/hot-100/2010-01-09,2010-01-09,91,Rain,Creed,RainCreed,2,,91,2,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge', 'rock']",2CIsr5cqDJeWffps0vtNeq,,208240.0,0.0,Full Circle,0.54,0.927,11.0,-3.164,1.0,0.0404,0.00189,0.0,0.226,0.39,98.034,4.0,53.0,0,-1.7942364974305547,-1.483045041522076
6470,6470,http://www.billboard.com/charts/hot-100/2010-01-16,2010-01-16,18,Drop The World,Lil Wayne Featuring Eminem,Drop The WorldLil Wayne Featuring Eminem,1,,18,1,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",3e21cX0CVwzkQXiHz7WUQZ,,229226.0,1.0,Rebirth,0.505,0.9,1.0,-1.578,1.0,0.392,0.0763,0.0,0.202,0.391,145.042,4.0,64.0,3,-1.7230371973242744,0.958733981667965
22912,22912,http://www.billboard.com/charts/hot-100/2010-01-23,2010-01-23,93,Love This Pain,Lady Antebellum,Love This PainLady Antebellum,1,,93,1,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road']",5WGQT9EYapix3MpDKFMwDN,,183653.0,0.0,Need You Now,0.639,0.905,11.0,-3.044,1.0,0.0409,0.00876,1.54e-06,0.364,0.792,127.972,4.0,28.0,0,-2.754091669129664,-0.8938200116804532
3579,3579,http://www.billboard.com/charts/hot-100/2010-01-30,2010-01-30,8,Hard,Rihanna Featuring Jeezy,HardRihanna Featuring Jeezy,1,9.0,8,9,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",3YJkAQNEhmCZGLdmPsu6Ye,,250600.0,1.0,Rated R,0.31,0.746,1.0,-3.599,1.0,0.111,0.0121,0.0,0.649,0.163,182.032,4.0,57.0,4,-0.9049184230459004,-0.6082585313424603
18534,18534,http://www.billboard.com/charts/hot-100/2010-01-30,2010-01-30,72,Ready To Love Again,Lady Antebellum,Ready To Love AgainLady Antebellum,1,,72,1,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road']",4jJEEPrPMTMHpabgjefRN7,,173266.0,0.0,Need You Now,0.555,0.638,4.0,-5.012,1.0,0.027,0.313,0.0,0.122,0.185,102.676,4.0,40.0,1,0.6177172924700894,-1.4206080464020445
6631,6631,http://www.billboard.com/charts/hot-100/2010-01-30,2010-01-30,18,Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,Two Is Better Than OneBoys Like Girls Featuring Taylor Swift,2,24.0,18,13,"['emo', 'neo mellow', 'neon pop punk', 'pop punk', 'pop rock', 'post-teen pop']",1MaqkdFNIKPdpQGDzme5ss,https://p.scdn.co/mp3-preview/59cef672f643870e7a4b68a291939670fc9be6d1?cid=b8d3901151d34489a160e3cf0ab1fa94,242840.0,0.0,Love Drunk,0.521,0.702,0.0,-5.189,1.0,0.0331,0.189,0.0,0.0962,0.25,127.976,4.0,66.0,1,0.21577175705454224,-1.7017500807305113
9139,9139,http://www.billboard.com/charts/hot-100/2010-01-30,2010-01-30,29,Naturally,Selena Gomez & The Scene,NaturallySelena Gomez & The Scene,1,36.0,29,4,"['dance pop', 'pop', 'post-teen pop']",1YaVmBh7EAeR54FIjuFcb5,,202586.0,0.0,Kiss & Tell,0.629,0.906,10.0,-5.393,0.0,0.0583,0.0211,1.17e-06,0.0551,0.847,132.64,4.0,64.0,0,-2.0023380825426016,-0.4365448259317103
17693,17693,http://www.billboard.com/charts/hot-100/2010-02-06,2010-02-06,68,Shots,LMFAO Featuring Lil Jon,ShotsLMFAO Featuring Lil Jon,3,77.0,68,7,"['dance pop', 'pop', 'pop rap']",1V4jC0vJ5525lEF1bFgPX2,,222133.0,0.0,Party Rock,0.823,0.826,1.0,-2.055,1.0,0.0514,0.0118,1.93e-06,0.205,0.187,127.996,4.0,65.0,0,-1.4886772759675229,-0.6754013458950877
1409,1409,http://www.billboard.com/charts/hot-100/2010-02-06,2010-02-06,2,Today Was A Fairytale,Taylor Swift,Today Was A FairytaleTaylor Swift,1,,2,1,"['pop', 'post-teen pop']",1P5QpwOgXJuoVTm3CWbnLY,,241813.0,0.0,Today Was A Fairytale,0.485,0.717,7.0,-4.54,1.0,0.0321,0.0284,5.63e-06,0.14,0.356,158.047,4.0,44.0,4,-0.6840743499113812,-1.6345682635155157
14649,14649,http://www.billboard.com/charts/hot-100/2010-02-06,2010-02-06,54,Set The Fire To The Third Bar,Snow Patrol Featuring Martha Wainwright,Set The Fire To The Third BarSnow Patrol Featuring Martha Wainwright,1,86.0,54,2,"['irish rock', 'modern rock', 'neo mellow', 'permanent wave', 'pop rock']",4kg5hAOumbLtNSg6J8aq8e,,203613.0,0.0,Eyes Open,0.548,0.532,7.0,-11.782,1.0,0.0373,0.0677,0.24,0.158,0.185,96.087,4.0,51.0,7,2.42368425703636,-0.9855415494284083
11960,11960,http://www.billboard.com/charts/hot-100/2010-02-06,2010-02-06,42,If You Only Knew,Shinedown,If You Only KnewShinedown,1,43.0,42,13,"['alternative metal', 'nu metal', 'post-grunge']",0CkSF2TAqIu8TJaVwwAOnT,https://p.scdn.co/mp3-preview/7afd90b344a9256d763dbaa27fddf22c66561e4f?cid=b8d3901151d34489a160e3cf0ab1fa94,226640.0,0.0,The Sound of Madness,0.449,0.956,9.0,-4.011,0.0,0.0398,0.000347,0.0,0.325,0.321,97.011,4.0,56.0,0,-1.57762539691512,-1.32863350283066
17323,17323,http://www.billboard.com/charts/hot-100/2010-02-13,2010-02-13,67,American Saturday Night,Brad Paisley,American Saturday NightBrad Paisley,2,78.0,67,8,"['contemporary country', 'country', 'country road']",7xJqaCgeteqWPogqjjxkBl,https://p.scdn.co/mp3-preview/fdbb1fb207c8fdecfddea401d4f0710850872254?cid=b8d3901151d34489a160e3cf0ab1fa94,274200.0,0.0,American Saturday Night,0.487,0.938,4.0,-5.466,1.0,0.0533,0.0721,2.63e-05,0.522,0.733,157.795,4.0,50.0,0,-2.0116456472264885,-1.5150345582404072
11592,11592,http://www.billboard.com/charts/hot-100/2010-02-13,2010-02-13,40,The Truth,Jason Aldean,The TruthJason Aldean,1,43.0,40,13,"['contemporary country', 'country', 'country road']",25rV6ArwFMht49oONoqSLQ,https://p.scdn.co/mp3-preview/dbf38f536fe134d96f3f77f125d9dd8372c3ea0e?cid=b8d3901151d34489a160e3cf0ab1fa94,238413.0,0.0,Wide Open,0.496,0.577,9.0,-5.305,1.0,0.0257,0.234,2.4e-06,0.109,0.381,143.014,4.0,57.0,1,0.33840530929101464,-1.590020988302856
12026,12026,http://www.billboard.com/charts/hot-100/2010-02-13,2010-02-13,42,Shut It Down,Pitbull Featuring Akon,Shut It DownPitbull Featuring Akon,1,51.0,42,9,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']",6r9uMZ7NBaMO1ovylcJZI4,https://p.scdn.co/mp3-preview/e595368d3d50f638aa7abf8efe6239c05bad0b8c?cid=b8d3901151d34489a160e3cf0ab1fa94,226093.0,1.0,Pitbull Starring In Rebelution,0.754,0.693,9.0,-6.483,0.0,0.0844,0.0059,1.59e-06,0.0515,0.411,128.062,4.0,47.0,2,-0.2499171145173232,1.2927675110275387
2610,2610,http://www.billboard.com/charts/hot-100/2010-02-13,2010-02-13,5,Sexy Chick,David Guetta Featuring Akon,Sexy ChickDavid Guetta Featuring Akon,2,7.0,5,26,"['dance pop', 'edm', 'pop']",4MKzCHlZvkwJOQRNkdw4zq,https://p.scdn.co/mp3-preview/7a3b6610900563c5a1cfc4dd37dced5a5f1d3e1f?cid=b8d3901151d34489a160e3cf0ab1fa94,194346.0,0.0,One More Love,0.809,0.562,11.0,-7.694,0.0,0.0534,0.0816,0.000418,0.105,0.798,130.003,4.0,55.0,8,-0.3437786029613549,0.4869957825673877
24042,24042,http://www.billboard.com/charts/hot-100/2010-02-13,2010-02-13,99,Hurry Home,Jason Michael Carroll,Hurry HomeJason Michael Carroll,1,,99,1,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock', 'redneck']",61aJPoKikSDWTNnyp4fzgf,https://p.scdn.co/mp3-preview/58c259d71fc14ab6cd76719392771214ec1e835d?cid=b8d3901151d34489a160e3cf0ab1fa94,242866.0,0.0,Growing Up Is Getting Old,0.617,0.453,2.0,-7.956,1.0,0.0316,0.248,0.0,0.109,0.252,133.958,4.0,37.0,1,1.639786567211179,-1.079679775998923
2851,2851,http://www.billboard.com/charts/hot-100/2010-02-13,2010-02-13,6,How Low,Ludacris,How LowLudacris,1,12.0,6,8,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",1WtTLtofvcjQM3sXSMkDdX,,201586.0,1.0,Battle Of The Sexes (Deluxe),0.784,0.498,1.0,-6.977,1.0,0.0533,0.00248,1.23e-06,0.224,0.418,143.96,4.0,62.0,8,0.34230862782987254,0.9983735485228766
11719,11719,http://www.billboard.com/charts/hot-100/2010-02-13,2010-02-13,41,I Wanna Rock,Snoop Dogg,I Wanna RockSnoop Dogg,1,60.0,41,8,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",3vNiHPIipR4a4bZKA288CD,,235986.0,0.0,Malice 'N Wonderland,0.521,0.849,5.0,-3.238,1.0,0.318,0.168,0.0,0.289,0.431,122.852,5.0,40.0,3,-1.8048544632645362,0.11910497245829563
1038,1038,http://www.billboard.com/charts/hot-100/2010-02-13,2010-02-13,2,Bad Romance,Lady Gaga,Bad RomanceLady Gaga,1,3.0,2,14,"['dance pop', 'pop']",0SiywuOBRcynK0uKGWdCnn,,294573.0,1.0,The Fame Monster (Deluxe Edition),0.696,0.921,0.0,-3.755,1.0,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,4.0,80.0,3,-1.8452162195287722,-0.12977773450617314
22691,22691,http://www.billboard.com/charts/hot-100/2010-02-13,2010-02-13,92,My City Of Ruins (Live From The Kennedy Center Honors),Eddie Vedder,My City Of Ruins (Live From The Kennedy Center Honors)Eddie Vedder,1,,92,1,"['permanent wave', 'post-grunge', 'rock']",21BL3kK8feVhrEz27j2GER,https://p.scdn.co/mp3-preview/7e4f7921f6b093a9e18694fdf4fd71dced7a7b0d?cid=b8d3901151d34489a160e3cf0ab1fa94,241643.0,0.0,My City of Ruins / My Father's House (Live) (Benefiting Artists for Peace and Justice Haiti Relief),0.448,0.322,2.0,-12.683,1.0,0.0428,0.772,0.0,0.947,0.331,82.239,4.0,42.0,7,3.5401075013343317,-1.1530395254903723
6491,6491,http://www.billboard.com/charts/hot-100/2010-02-20,2010-02-20,18,Glitter In The Air,P!nk,Glitter In The AirP!nk,1,,18,1,"['dance pop', 'pop', 'post-teen pop']",1M6dQ8MZQnYxjH8yZzswQt,https://p.scdn.co/mp3-preview/e8b2773a97f0a8fc93ffcf94438d6511806e6931?cid=b8d3901151d34489a160e3cf0ab1fa94,227813.0,0.0,Funhouse (Expanded Edition),0.511,0.255,5.0,-12.036,1.0,0.0283,0.897,0.000219,0.0994,0.296,99.901,4.0,55.0,5,4.513807675376149,-1.3559878670083438
15374,15374,http://www.billboard.com/charts/hot-100/2010-02-20,2010-02-20,57,You And Me,Dave Matthews Band,You And MeDave Matthews Band,1,,57,1,"['jam band', 'neo mellow', 'pop rock']",12ZdBjNAfRXZZTvMSrJPUb,https://p.scdn.co/mp3-preview/df488cd08d04ef7eac4e600d6ae5cc2c9101cb8d?cid=b8d3901151d34489a160e3cf0ab1fa94,340533.0,0.0,Big Whiskey and the GrooGrux King (Expanded Edition),0.652,0.627,7.0,-7.313,1.0,0.0894,0.436,8.11e-06,0.0674,0.315,137.867,3.0,55.0,7,1.7981527566881608,-1.6692365326661773
12195,12195,http://www.billboard.com/charts/hot-100/2010-02-20,2010-02-20,43,It Kills Me,Melanie Fiona,It Kills MeMelanie Fiona,1,43.0,43,12,"['canadian pop', 'dance pop', 'deep pop r&b', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']",6qU37BgVfPhpb2rhYzZWrF,,250413.0,0.0,The Bridge,0.62,0.789,8.0,-4.265,1.0,0.0469,0.215,0.0,0.1,0.444,107.359,4.0,52.0,4,-0.6521117685008576,-1.3408797313610232
22281,22281,http://www.billboard.com/charts/hot-100/2010-02-20,2010-02-20,91,American Star,Lil Wayne Featuring Shanell AKA SNL,American StarLil Wayne Featuring Shanell AKA SNL,1,,91,1,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",6x4m0Q6kqRnhslFRoGO3mA,,216826.0,1.0,Rebirth (Deluxe),0.538,0.742,7.0,-5.044,1.0,0.0393,0.0172,0.0,0.0261,0.524,76.957,4.0,29.0,4,-0.5067895094966164,-0.2649434289619519
12421,12421,http://www.billboard.com/charts/hot-100/2010-02-20,2010-02-20,44,Knockout,Lil Wayne Featuring Nicki Minaj,KnockoutLil Wayne Featuring Nicki Minaj,1,,44,1,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",1DDsYldutVWnRrRbZc5X5B,,249306.0,1.0,Rebirth (Deluxe),0.493,0.826,4.0,-3.706,0.0,0.0458,0.00216,0.00119,0.347,0.349,159.948,4.0,47.0,3,-1.321418251352116,0.05100468796423673
23711,23711,http://www.billboard.com/charts/hot-100/2010-02-20,2010-02-20,97,Major Tom,Shiny Toy Guns,Major TomShiny Toy Guns,1,,97,1,"['dance-punk', 'electronic rock', 'electropop', 'indietronica']",6MQdIVpcXuaa9QpuCd33ei,,262333.0,0.0,Major Tom,0.645,0.77,10.0,-6.871,0.0,0.0375,0.0473,0.00345,0.108,0.67,165.033,4.0,36.0,4,-0.9624189616286162,-0.48482875650412827
10524,10524,http://www.billboard.com/charts/hot-100/2010-02-27,2010-02-27,35,Why Don't We Just Dance,Josh Turner,Why Don't We Just DanceJosh Turner,1,42.0,35,14,"['contemporary country', 'country', 'country road', 'modern country rock']",2p07VcUwRZ5sru3mJ0JogS,,192800.0,0.0,Haywire,0.677,0.776,5.0,-5.933,1.0,0.0386,0.42,0.000689,0.0954,0.642,121.834,4.0,65.0,4,-0.308575148167976,-0.9875015198471392
14202,14202,http://www.billboard.com/charts/hot-100/2010-02-27,2010-02-27,52,Soldier Of Love,Sade,Soldier Of LoveSade,1,80.0,52,5,"['british soul', 'neo soul']",0bgsj8kz5zWbQ6njk2Oqoz,https://p.scdn.co/mp3-preview/7cfb8cc801c4f393414df1995a78c86b119eea28?cid=b8d3901151d34489a160e3cf0ab1fa94,356565.0,0.0,Soldier of Love,0.775,0.572,0.0,-8.427,0.0,0.0632,0.0117,0.0291,0.0847,0.64,90.023,4.0,57.0,8,0.5454462317012451,-0.23559113803406623
18612,18612,http://www.billboard.com/charts/hot-100/2010-02-27,2010-02-27,73,Cryin' For Me (Wayman's Song),Toby Keith,Cryin' For Me (Wayman's Song)Toby Keith,2,78.0,73,10,"['contemporary country', 'country', 'country road', 'oklahoma country']",5D2Sr7fTxeVfO4cYniJG7X,https://p.scdn.co/mp3-preview/65b314c008eb3eebe39e27db9d53ff4eb8a1384f?cid=b8d3901151d34489a160e3cf0ab1fa94,285506.0,0.0,American Ride,0.51,0.398,8.0,-7.685,0.0,0.0284,0.362,0.00139,0.112,0.261,156.08,4.0,43.0,7,1.9084077546767853,-1.0369525567286724
12885,12885,http://www.billboard.com/charts/hot-100/2010-02-27,2010-02-27,46,Pants On The Ground,General Larry Platt,Pants On The GroundGeneral Larry Platt,1,,46,1,[],2aYguRih2pKaKXiW7UFrbA,https://p.scdn.co/mp3-preview/b8184461ed9ec0b7ada6dc9d08f1015e840ea77c?cid=b8d3901151d34489a160e3cf0ab1fa94,210546.0,0.0,Pants On The Ground,0.836,0.768,6.0,-5.47,0.0,0.0969,0.0295,0.0,0.513,0.613,95.025,4.0,23.0,3,-1.4818714268689483,0.5497691227197792
22797,22797,http://www.billboard.com/charts/hot-100/2010-02-27,2010-02-27,93,Ain't Leavin Without You,Jaheim,Ain't Leavin Without YouJaheim,1,100.0,93,3,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",7nkIQ02m4KItFfDfWrEApi,https://p.scdn.co/mp3-preview/44a9676224b4f55c758012a8d51985db0aa0ec45?cid=b8d3901151d34489a160e3cf0ab1fa94,200613.0,0.0,Another Round,0.741,0.754,10.0,-5.899,0.0,0.247,0.151,0.0,0.265,0.819,98.929,4.0,43.0,3,-1.2256235451227462,0.9130038492577814
1429,1429,http://www.billboard.com/charts/hot-100/2010-02-27,2010-02-27,2,We Are The World 25: For Haiti,Artists For Haiti,We Are The World 25: For HaitiArtists For Haiti,1,,2,1,[],07rhyW77lp2bGv8EQoZy6k,https://p.scdn.co/mp3-preview/bb3fba4fb6e43bcfc732e254b50cad8a6232b46e?cid=b8d3901151d34489a160e3cf0ab1fa94,416777.0,0.0,We Are the World 25 for Haiti - Single,0.348,0.717,4.0,-5.634,1.0,0.0882,0.311,0.0,0.0786,0.28,66.21,4.0,54.0,1,1.0175026681380688,-2.6220210694944686
16073,16073,http://www.billboard.com/charts/hot-100/2010-02-27,2010-02-27,61,History In The Making,Darius Rucker,History In The MakingDarius Rucker,2,63.0,61,16,"['contemporary country', 'country', 'country road', 'modern country rock']",1J4HTEFSDx9DWyJVH5uv1b,,209480.0,0.0,Learn To Live,0.475,0.718,0.0,-5.638,1.0,0.034,0.0373,0.0,0.326,0.453,157.722,4.0,45.0,4,-0.6976422860174347,-1.4810409182111273
16071,16071,http://www.billboard.com/charts/hot-100/2010-03-06,2010-03-06,61,Hallelujah (Vancouver Winter 2010 Version),k.d. lang,Hallelujah (Vancouver Winter 2010 Version)k.d. lang,1,,61,1,"['canadian country', 'canadian pop', 'canadian singer-songwriter', 'folk', 'lilith', 'mellow gold', 'new wave pop', 'permanent wave', 'singer-songwriter']",0eMBT8pajtxCOmQYSVpcxE,https://p.scdn.co/mp3-preview/47512ba1dc43526510125f5e9dd787e9ce78bb80?cid=b8d3901151d34489a160e3cf0ab1fa94,337600.0,0.0,Hallelujah EP,0.256,0.219,1.0,-9.617,0.0,0.0354,0.869,5.09e-05,0.108,0.098,172.686,3.0,28.0,5,5.008680830916661,-2.6209996026386544
